station_id,station,office,scenario,min,med,max
station-ときわ台,ときわ台,playground,wkday0900,32,35,40
station-三ノ輪,三ノ輪,playground,wkday0900,23,26,31
station-三ノ輪,三ノ輪,m3career,wkday0900,23,26,31
station-三田,三田,playground,wkday0900,13,16,21
station-三田,三田,m3career,wkday0900,6,9,14
station-三越前,三越前,playground,wkday0900,9,12,17
station-三越前,三越前,m3career,wkday0900,13,16,21
station-三鷹,三鷹,playground,wkday0900,40,43,48
station-三鷹,三鷹,m3career,wkday0900,44,47,52
station-上板橋,上板橋,playground,wkday0900,37,40,45
station-上板橋,上板橋,m3career,wkday0900,42,45,50
station-上石神井,上石神井,playground,wkday0900,38,41,46
station-上石神井,上石神井,m3career,wkday0900,53,56,61
station-上野,上野,playground,wkday0900,15,18,23
station-上野,上野,m3career,wkday0900,17,20,25
station-上野広小路,上野広小路,playground,wkday0900,13,16,21
station-上野広小路,上野広小路,m3career,wkday0900,21,24,29
station-下落合,下落合,playground,wkday0900,23,26,31
station-下落合,下落合,m3career,wkday0900,27,30,35
station-不動前,不動前,playground,wkday0900,17,20,25
station-不動前,不動前,m3career,wkday0900,13,16,21
station-中井,中井,playground,wkday0900,25,28,33
station-中井,中井,m3career,wkday0900,32,35,40
station-中延,中延,playground,wkday0900,23,26,31
station-中延,中延,m3career,wkday0900,19,22,27
station-中落合,中落合,playground,wkday0900,25,28,33
station-中落合,中落合,m3career,wkday0900,32,35,40
station-中野,中野,playground,wkday0900,25,28,33
station-中野,中野,m3career,wkday0900,29,32,37
station-乃木坂,乃木坂,playground,wkday0900,7,10,15
station-乃木坂,乃木坂,m3career,wkday0900,6,9,14
station-久が原,久が原,playground,wkday0900,42,45,50
station-久が原,久が原,m3career,wkday0900,37,40,45
station-九段下,九段下,playground,wkday0900,2,5,10
station-九段下,九段下,m3career,wkday0900,11,14,19
station-亀戸,亀戸,playground,wkday0900,32,35,40
station-亀戸,亀戸,m3career,wkday0900,42,45,50
station-五反田,五反田,playground,wkday0900,15,18,23
station-五反田,五反田,m3career,wkday0900,11,14,19
station-京成金町,京成金町,playground,wkday0900,45,48,53
station-京成金町,京成金町,m3career,wkday0900,46,49,54
station-人形町,人形町,playground,wkday0900,15,18,23
station-人形町,人形町,m3career,wkday0900,15,18,23
station-代々木,代々木,playground,wkday0900,13,16,21
station-代々木,代々木,m3career,wkday0900,15,18,23
station-代々木上原,代々木上原,playground,wkday0900,17,20,25
station-代々木上原,代々木上原,m3career,wkday0900,17,20,25
station-住吉,住吉,playground,wkday0900,21,24,29
station-住吉,住吉,m3career,wkday0900,30,33,38
station-入谷,入谷,playground,wkday0900,17,20,25
station-入谷,入谷,m3career,wkday0900,19,22,27
station-八丁堀,八丁堀,playground,wkday0900,11,14,19
station-八丁堀,八丁堀,m3career,wkday0900,11,14,19
station-八幡山,八幡山,playground,wkday0900,34,37,42
station-八幡山,八幡山,m3career,wkday0900,37,40,45
station-六本木,六本木,playground,wkday0900,9,12,17
station-六本木,六本木,m3career,wkday0900,4,7,12
station-六本木一丁目,六本木一丁目,playground,wkday0900,7,10,15
station-六本木一丁目,六本木一丁目,m3career,wkday0900,1,3,8
station-勝どき,勝どき,playground,wkday0900,15,18,23
station-勝どき,勝どき,m3career,wkday0900,9,12,17
station-北千住,北千住,playground,wkday0900,32,35,40
station-北千住,北千住,m3career,wkday0900,33,36,41
station-北品川,北品川,playground,wkday0900,23,26,31
station-北品川,北品川,m3career,wkday0900,17,20,25
station-北池袋,北池袋,playground,wkday0900,21,24,29
station-北池袋,北池袋,m3career,wkday0900,25,28,33
station-北綾瀬,北綾瀬,playground,wkday0900,40,43,48
station-北綾瀬,北綾瀬,m3career,wkday0900,41,44,49
station-北赤羽,北赤羽,playground,wkday0900,40,43,48
station-北赤羽,北赤羽,m3career,wkday0900,45,48,53
station-千住大橋,千住大橋,playground,wkday0900,35,38,43
station-千住大橋,千住大橋,m3career,wkday0900,32,35,40
station-千歳烏山,千歳烏山,playground,wkday0900,35,38,43
station-千歳烏山,千歳烏山,m3career,wkday0900,47,50,55
station-千石,千石,playground,wkday0900,18,21,26
station-千石,千石,m3career,wkday0900,23,26,31
station-千鳥町,千鳥町,playground,wkday0900,37,40,45
station-千鳥町,千鳥町,m3career,wkday0900,32,35,40
station-半蔵門,半蔵門,playground,wkday0900,1,2,7
station-半蔵門,半蔵門,m3career,wkday0900,5,8,13
station-南千住,南千住,playground,wkday0900,36,39,44
station-南千住,南千住,m3career,wkday0900,32,35,40
station-南砂町,南砂町,playground,wkday0900,27,30,35
station-南砂町,南砂町,m3career,wkday0900,32,35,40
station-南阿佐ヶ谷,南阿佐ヶ谷,playground,wkday0900,33,36,41
station-南阿佐ヶ谷,南阿佐ヶ谷,m3career,wkday0900,37,40,45
station-原宿,原宿,playground,wkday0900,13,16,21
station-原宿,原宿,m3career,wkday0900,15,18,23
station-吉祥寺,吉祥寺,playground,wkday0900,38,41,46
station-吉祥寺,吉祥寺,m3career,wkday0900,42,45,50
station-品川,品川,playground,wkday0900,23,26,31
station-品川,品川,m3career,wkday0900,17,20,25
station-品川シーサイド,品川シーサイド,playground,wkday0900,25,28,33
station-品川シーサイド,品川シーサイド,m3career,wkday0900,19,22,27
station-四ツ谷,四ツ谷,playground,wkday0900,2,5,10
station-四ツ谷,四ツ谷,m3career,wkday0900,7,10,15
station-四谷三丁目,四谷三丁目,playground,wkday0900,6,9,14
station-四谷三丁目,四谷三丁目,m3career,wkday0900,11,14,19
station-国分寺,国分寺,playground,wkday0900,46,49,54
station-国分寺,国分寺,m3career,wkday0900,53,56,61
station-国際展示場,国際展示場,playground,wkday0900,21,24,29
station-国際展示場,国際展示場,m3career,wkday0900,15,18,23
station-地下鉄成増,地下鉄成増,playground,wkday0900,41,44,49
station-地下鉄成増,地下鉄成増,m3career,wkday0900,50,53,58
station-大井町,大井町,playground,wkday0900,23,26,31
station-大井町,大井町,m3career,wkday0900,19,22,27
station-大塚,大塚,playground,wkday0900,21,24,29
station-大塚,大塚,m3career,wkday0900,25,28,33
station-大山,大山,playground,wkday0900,21,24,29
station-大山,大山,m3career,wkday0900,27,30,35
station-大崎,大崎,playground,wkday0900,19,22,27
station-大崎,大崎,m3career,wkday0900,15,18,23
station-大手町,大手町,playground,wkday0900,5,8,13
station-大手町,大手町,m3career,wkday0900,9,12,17
station-大森,大森,playground,wkday0900,32,35,40
station-大森,大森,m3career,wkday0900,25,28,33
station-大森海岸,大森海岸,playground,wkday0900,25,28,33
station-大森海岸,大森海岸,m3career,wkday0900,21,24,29
station-大泉学園,大泉学園,playground,wkday0900,45,48,53
station-大泉学園,大泉学園,m3career,wkday0900,56,59,64
station-大門,大門,playground,wkday0900,13,16,21
station-大門,大門,m3career,wkday0900,5,8,13
station-天王洲アイル,天王洲アイル,playground,wkday0900,23,26,31
station-天王洲アイル,天王洲アイル,m3career,wkday0900,17,20,25
station-学習院下,学習院下,playground,wkday0900,19,22,27
station-学習院下,学習院下,m3career,wkday0900,23,26,31
station-学芸大学,学芸大学,playground,wkday0900,24,27,32
station-学芸大学,学芸大学,m3career,wkday0900,21,24,29
station-宝町,宝町,playground,wkday0900,11,14,19
station-宝町,宝町,m3career,wkday0900,9,12,17
station-富士見台,富士見台,playground,wkday0900,42,45,50
station-富士見台,富士見台,m3career,wkday0900,53,56,61
station-小岩,小岩,playground,wkday0900,42,45,50
station-小岩,小岩,m3career,wkday0900,42,45,50
station-巣鴨,巣鴨,playground,wkday0900,20,23,28
station-巣鴨,巣鴨,m3career,wkday0900,27,30,35
station-市ヶ谷,市ヶ谷,playground,wkday0900,1,4,9
station-市ヶ谷,市ヶ谷,m3career,wkday0900,11,14,19
station-市川,市川,playground,wkday0900,36,39,44
station-市川,市川,m3career,wkday0900,39,42,47
station-平井,平井,playground,wkday0900,35,38,43
station-平井,平井,m3career,wkday0900,41,44,49
station-後楽園,後楽園,playground,wkday0900,11,14,19
station-後楽園,後楽園,m3career,wkday0900,17,20,25
station-御徒町,御徒町,playground,wkday0900,15,18,23
station-御徒町,御徒町,m3career,wkday0900,21,24,29
station-御成門,御成門,playground,wkday0900,9,12,17
station-御成門,御成門,m3career,wkday0900,2,5,10
station-御茶ノ水,御茶ノ水,playground,wkday0900,9,12,17
station-御茶ノ水,御茶ノ水,m3career,wkday0900,15,18,23
station-志茂,志茂,playground,wkday0900,36,39,44
station-志茂,志茂,m3career,wkday0900,41,44,49
station-恵比寿,恵比寿,playground,wkday0900,15,18,23
station-恵比寿,恵比寿,m3career,wkday0900,11,14,19
station-戸越,戸越,playground,wkday0900,13,16,21
station-戸越,戸越,m3career,wkday0900,9,12,17
station-押上,押上,playground,wkday0900,26,29,34
station-押上,押上,m3career,wkday0900,32,35,40
station-新三河島,新三河島,playground,wkday0900,32,35,40
station-新三河島,新三河島,m3career,wkday0900,32,35,40
station-新中野,新中野,playground,wkday0900,25,28,33
station-新中野,新中野,m3career,wkday0900,23,26,31
station-新井薬師前,新井薬師前,playground,wkday0900,31,34,39
station-新井薬師前,新井薬師前,m3career,wkday0900,32,35,40
station-新大塚,新大塚,playground,wkday0900,17,20,25
station-新大塚,新大塚,m3career,wkday0900,21,24,29
station-新宿,新宿,playground,wkday0900,13,16,21
station-新宿,新宿,m3career,wkday0900,15,18,23
station-新宿三丁目,新宿三丁目,playground,wkday0900,11,14,19
station-新宿三丁目,新宿三丁目,m3career,wkday0900,15,18,23
station-新宿御苑前,新宿御苑前,playground,wkday0900,9,12,17
station-新宿御苑前,新宿御苑前,m3career,wkday0900,13,16,21
station-新富町,新富町,playground,wkday0900,13,16,21
station-新富町,新富町,m3career,wkday0900,11,14,19
station-新小岩,新小岩,playground,wkday0900,30,33,38
station-新小岩,新小岩,m3career,wkday0900,34,37,42
station-新御徒町,新御徒町,playground,wkday0900,17,20,25
station-新御徒町,新御徒町,m3career,wkday0900,21,24,29
station-新日本橋,新日本橋,playground,wkday0900,9,12,17
station-新日本橋,新日本橋,m3career,wkday0900,15,18,23
station-新橋,新橋,playground,wkday0900,9,12,17
station-新橋,新橋,m3career,wkday0900,4,7,12
station-新馬場,新馬場,playground,wkday0900,25,28,33
station-新馬場,新馬場,m3career,wkday0900,19,22,27
station-旗の台,旗の台,playground,wkday0900,27,30,35
station-旗の台,旗の台,m3career,wkday0900,23,26,31
station-日暮里,日暮里,playground,wkday0900,23,26,31
station-日暮里,日暮里,m3career,wkday0900,27,30,35
station-日本橋,日本橋,playground,wkday0900,9,12,17
station-日本橋,日本橋,m3career,wkday0900,11,14,19
station-明治神宮前,明治神宮前,playground,wkday0900,11,14,19
station-明治神宮前,明治神宮前,m3career,wkday0900,13,16,21
station-曙橋,曙橋,playground,wkday0900,7,10,15
station-曙橋,曙橋,m3career,wkday0900,11,14,19
station-月島,月島,playground,wkday0900,15,18,23
station-月島,月島,m3career,wkday0900,11,14,19
station-有明,有明,playground,wkday0900,21,24,29
station-有明,有明,m3career,wkday0900,13,16,21
station-有楽町,有楽町,playground,wkday0900,9,12,17
station-有楽町,有楽町,m3career,wkday0900,7,10,15
station-末広町,末広町,playground,wkday0900,13,16,21
station-末広町,末広町,m3career,wkday0900,19,22,27
station-本八幡,本八幡,playground,wkday0900,43,46,51
station-本八幡,本八幡,m3career,wkday0900,48,51,56
station-本郷三丁目,本郷三丁目,playground,wkday0900,13,16,21
station-本郷三丁目,本郷三丁目,m3career,wkday0900,19,22,27
station-東中野,東中野,playground,wkday0900,23,26,31
station-東中野,東中野,m3career,wkday0900,21,24,29
station-東京,東京,playground,wkday0900,9,12,17
station-東京,東京,m3career,wkday0900,11,14,19
station-東十条,東十条,playground,wkday0900,32,35,40
station-東十条,東十条,m3career,wkday0900,37,40,45
station-東大前,東大前,playground,wkday0900,15,18,23
station-東大前,東大前,m3career,wkday0900,23,26,31
station-東大島,東大島,playground,wkday0900,29,32,37
station-東大島,東大島,m3career,wkday0900,32,35,40
station-東小金井,東小金井,playground,wkday0900,46,49,54
station-東小金井,東小金井,m3career,wkday0900,50,53,58
station-東新宿,東新宿,playground,wkday0900,13,16,21
station-東新宿,東新宿,m3career,wkday0900,17,20,25
station-東武練馬,東武練馬,playground,wkday0900,37,40,45
station-東武練馬,東武練馬,m3career,wkday0900,42,45,50
station-東池袋,東池袋,playground,wkday0900,15,18,23
station-東池袋,東池袋,m3career,wkday0900,19,22,27
station-東田端,東田端,playground,wkday0900,27,30,35
station-東田端,東田端,m3career,wkday0900,32,35,40
station-東銀座,東銀座,playground,wkday0900,9,12,17
station-東銀座,東銀座,m3career,wkday0900,7,10,15
station-東長崎,東長崎,playground,wkday0900,32,35,40
station-東長崎,東長崎,m3career,wkday0900,37,40,45
station-東陽町,東陽町,playground,wkday0900,19,22,27
station-東陽町,東陽町,m3career,wkday0900,25,28,33
station-東高円寺,東高円寺,playground,wkday0900,29,32,37
station-東高円寺,東高円寺,m3career,wkday0900,27,30,35
station-松陰神社前,松陰神社前,playground,wkday0900,32,35,40
station-松陰神社前,松陰神社前,m3career,wkday0900,32,35,40
station-板橋,板橋,playground,wkday0900,25,28,33
station-板橋,板橋,m3career,wkday0900,32,35,40
station-板橋区役所前,板橋区役所前,playground,wkday0900,21,24,29
station-板橋区役所前,板橋区役所前,m3career,wkday0900,25,28,33
station-板橋本町,板橋本町,playground,wkday0900,21,24,29
station-板橋本町,板橋本町,m3career,wkday0900,25,28,33
station-根津,根津,playground,wkday0900,17,20,25
station-根津,根津,m3career,wkday0900,22,25,30
station-桜台,桜台,playground,wkday0900,39,42,47
station-桜台,桜台,m3career,wkday0900,42,45,50
station-桜新町,桜新町,playground,wkday0900,25,28,33
station-桜新町,桜新町,m3career,wkday0900,32,35,40
station-梅ケ丘,梅ヶ丘,playground,wkday0900,29,32,37
station-梅ケ丘,梅ヶ丘,m3career,wkday0900,32,35,40
station-森下,森下,playground,wkday0900,18,21,26
station-森下,森下,m3career,wkday0900,21,24,29
station-椎名町,椎名町,playground,wkday0900,25,28,33
station-椎名町,椎名町,m3career,wkday0900,32,35,40
station-武蔵境,武蔵境,playground,wkday0900,43,46,51
station-武蔵境,武蔵境,m3career,wkday0900,47,50,55
station-武蔵新田,武蔵新田,playground,wkday0900,37,40,45
station-武蔵新田,武蔵新田,m3career,wkday0900,32,35,40
station-水天宮前,水天宮前,playground,wkday0900,14,17,22
station-水天宮前,水天宮前,m3career,wkday0900,15,18,23
station-氷川台,氷川台,playground,wkday0900,33,36,41
station-氷川台,氷川台,m3career,wkday0900,43,46,51
station-永田町,永田町,playground,wkday0900,2,5,10
station-永田町,永田町,m3career,wkday0900,3,6,11
station-江古田,江古田,playground,wkday0900,37,40,45
station-江古田,江古田,m3career,wkday0900,42,45,50
station-江戸川橋,江戸川橋,playground,wkday0900,11,14,19
station-江戸川橋,江戸川橋,m3career,wkday0900,21,24,29
station-池上,池上,playground,wkday0900,37,40,45
station-池上,池上,m3career,wkday0900,32,35,40
station-池袋,池袋,playground,wkday0900,17,20,25
station-池袋,池袋,m3career,wkday0900,23,26,31
station-浅草,浅草,playground,wkday0900,28,31,36
station-浅草,浅草,m3career,wkday0900,28,31,36
station-浅草橋,浅草橋,playground,wkday0900,15,18,23
station-浅草橋,浅草橋,m3career,wkday0900,19,22,27
station-浜松町,浜松町,playground,wkday0900,13,16,21
station-浜松町,浜松町,m3career,wkday0900,6,9,14
station-浜町,浜町,playground,wkday0900,17,20,25
station-浜町,浜町,m3career,wkday0900,17,20,25
station-淡路町,淡路町,playground,wkday0900,7,10,15
station-淡路町,淡路町,m3career,wkday0900,15,18,23
station-清澄白河,清澄白河,playground,wkday0900,17,20,25
station-清澄白河,清澄白河,m3career,wkday0900,21,24,29
station-渋谷,渋谷,playground,wkday0900,12,15,20
station-渋谷,渋谷,m3career,wkday0900,11,14,19
station-溜池山王,溜池山王,playground,wkday0900,6,9,14
station-溜池山王,溜池山王,m3career,wkday0900,2,5,10
station-牛込神楽坂,牛込神楽坂,playground,wkday0900,7,10,15
station-牛込神楽坂,牛込神楽坂,m3career,wkday0900,15,18,23
station-王子,王子,playground,wkday0900,27,30,35
station-王子,王子,m3career,wkday0900,32,35,40
station-王子神谷,王子神谷,playground,wkday0900,32,35,40
station-王子神谷,王子神谷,m3career,wkday0900,37,40,45
station-瑞江,瑞江,playground,wkday0900,36,39,44
station-瑞江,瑞江,m3career,wkday0900,46,49,54
station-用賀,用賀,playground,wkday0900,27,30,35
station-用賀,用賀,m3career,wkday0900,35,38,43
station-田原町,田原町,playground,wkday0900,29,32,37
station-田原町,田原町,m3career,wkday0900,23,26,31
station-田町,田町,playground,wkday0900,15,18,23
station-田町,田町,m3career,wkday0900,9,12,17
station-田端,田端,playground,wkday0900,27,30,35
station-田端,田端,m3career,wkday0900,32,35,40
station-町屋,町屋,playground,wkday0900,30,33,38
station-町屋,町屋,m3career,wkday0900,32,35,40
station-白金台,白金台,playground,wkday0900,13,16,21
station-白金台,白金台,m3career,wkday0900,11,14,19
station-白金高輪,白金高輪,playground,wkday0900,15,18,23
station-白金高輪,白金高輪,m3career,wkday0900,9,12,17
station-目白,目白,playground,wkday0900,17,20,25
station-目白,目白,m3career,wkday0900,23,26,31
station-目黒,目黒,playground,wkday0900,13,16,21
station-目黒,目黒,m3career,wkday0900,9,12,17
station-矢口渡,矢口渡,playground,wkday0900,42,45,50
station-矢口渡,矢口渡,m3career,wkday0900,37,40,45
station-石神井公園,石神井公園,playground,wkday0900,43,46,51
station-石神井公園,石神井公園,m3career,wkday0900,49,52,57
station-祖師ケ谷大蔵,祖師ヶ谷大蔵,playground,wkday0900,35,38,43
station-祖師ケ谷大蔵,祖師ヶ谷大蔵,m3career,wkday0900,39,42,47
station-神保町,神保町,playground,wkday0900,4,7,12
station-神保町,神保町,m3career,wkday0900,11,14,19
station-神楽坂,神楽坂,playground,wkday0900,9,12,17
station-神楽坂,神楽坂,m3career,wkday0900,21,24,29
station-神田,神田,playground,wkday0900,9,12,17
station-神田,神田,m3career,wkday0900,15,18,23
station-秋葉原,秋葉原,playground,wkday0900,13,16,21
station-秋葉原,秋葉原,m3career,wkday0900,19,22,27
station-稲荷町,稲荷町,playground,wkday0900,17,20,25
station-稲荷町,稲荷町,m3career,wkday0900,19,22,27
station-立会川,立会川,playground,wkday0900,27,30,35
station-立会川,立会川,m3career,wkday0900,23,26,31
station-立川,立川,playground,wkday0900,52,55,60
station-立川,立川,m3career,wkday0900,61,64,69
station-竹ノ塚,竹ノ塚,playground,wkday0900,46,49,54
