station_name,area_rank,trend_coefficient,inventory_pressure,rent_growth_rate,tower_eligible
虎ノ門,Tier1,1.02,1.26,1.10,1
大手町,Tier1,1.02,1.26,1.10,1
霞ヶ関,Tier1,1.02,1.26,1.10,1
新橋,Tier1,1.02,1.26,1.10,1
有楽町,Tier1,1.02,1.26,1.10,1
東京,Tier1,1.02,1.26,1.10,1
神保町,Tier1,1.02,1.26,1.10,1
半蔵門,Tier1,1.02,1.26,1.10,1
市ヶ谷,Tier1,1.02,1.26,1.10,1
四ツ谷,Tier1,1.02,1.26,1.10,1
飯田橋,Tier1,1.02,1.26,1.10,1
品川,Tier1,1.01,1.15,1.05,1
渋谷,Tier1,1.01,1.15,1.05,0
新宿,Tier1,1.01,1.15,1.05,0
表参道,Tier1,1.01,1.15,1.05,0
恵比寿,Tier1,1.01,1.15,1.05,0
目黒,Tier1,1.01,1.15,1.05,0
五反田,Tier1,1.01,1.15,1.05,0
大崎,Tier1,1.01,1.15,1.05,0
門前仲町,Tier1,1.01,1.15,1.10,1
月島,Tier1,1.01,1.15,1.10,1
八丁堀,Tier1,1.01,1.15,1.10,1
豊洲,Tier1,1.01,1.15,1.10,1
西新宿,Tier2,1.00,1.00,1.05,0
西新宿五丁目,Tier2,1.00,1.00,1.05,0
新宿三丁目,Tier2,1.00,1.00,1.05,0
東新宿,Tier2,1.00,1.00,1.05,0
牛込神楽坂,Tier2,1.00,1.00,1.05,0
田原町,Tier2,1.00,0.92,1.10,0
新御徒町,Tier2,1.00,0.92,1.10,0
上野,Tier2,1.00,0.92,1.10,0
御徒町,Tier2,1.00,0.92,1.10,0
秋葉原,Tier2,1.00,0.92,1.10,0
押上,Tier2,1.00,0.92,1.10,1
錦糸町,Tier2,0.99,0.92,1.10,1
亀戸,Tier2,0.99,0.92,1.10,1
西日暮里,Tier2,0.99,1.00,1.05,0
日暮里,Tier2,0.99,1.00,1.05,0
北千住,Tier2,0.99,0.92,1.10,0
南千住,Tier2,0.99,0.92,1.10,0
高田馬場,Tier2,0.99,1.00,1.05,0
巣鴨,Tier2,0.99,1.00,1.05,0
駒込,Tier2,0.99,1.00,1.05,0
田端,Tier2,0.99,1.00,1.05,0
東田端,Tier2,0.99,1.00,1.05,0
根津,Tier2,0.99,1.00,1.05,0
千石,Tier2,0.99,1.00,1.05,0
原宿,Tier2,0.99,1.00,1.05,0
入谷,Tier2,0.99,1.00,1.05,0
三ノ輪,Tier2,0.99,0.92,1.10,0
目白,Tier3,0.98,1.00,1.02,0
板橋,Tier3,0.98,1.00,1.02,0
落合南長崎,Tier3,0.98,1.00,1.02,0
八幡山,Tier3,0.98,1.00,1.02,0
富士見台,Tier3,0.98,1.00,1.02,0
北赤羽,Tier3,0.98,1.00,1.02,0
立会川,Tier3,0.97,1.00,1.02,0
綾瀬,Tier3,0.97,1.00,1.02,0
